step	loss
0	1.4131580591201782
1	0.2394580990076065
2	0.23892687261104584
3	0.18323199450969696
4	0.17795410752296448
5	0.17481213808059692
6	0.1548696756362915
7	0.1532968431711197
8	0.1069134995341301
9	0.10765542089939117
