step	accuracy
0	0.7856410145759583
1	0.9158974289894104
2	0.911794900894165
3	0.926153838634491
4	0.9333333373069763
5	0.928205132484436
6	0.9384615421295166
7	0.944615364074707
8	0.9589743614196777
9	0.9579487442970276
